Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Sadler-Blaugras,,,,,,,,,,,,,,,,,,,,,,
Sesleria sphaerocephala → Sesleriella,,,,,,,,,,,,,,,,,,,,,,
Sesleria uliginosa,VU,3,-2,-2,●,,RE?,RE?,●,–,–,,,,●,–,●,●,●,,Eur,S
(S. caerulea agg.),,,,,,,,,,,,,,,,,,,,,,
Sumpf-Blaugras,,,,,,,,,,,,,,,,,,,,,,
Sesleriella sphaerocephala subsp. leucocephala,LC,2,0,0,●,,,,,,,●,,●,,,,,,,SE-Alp,S
Syn. Sesleria sphaerocephala subsp. leucocephala,Der taxonomische Wert der Unterart ist ungeklärt.,,,,,,,,,,,,,,,,,,,,,
Weißes Rundkopf-Blaugras,,,,,,,,,,,,,,,,,,,,,,
Sesleriella sphaerocephala subsp. sphaerocephala,LC,2,0,0,●,,,,,,–,●,,●,,,,,,,SE-Alp,S
Syn. Sesleria sphaerocephala subsp. sphaerocephala,Der taxonomische Wert der Unterart ist ungeklärt.,,,,,,,,,,,,,,,,,,,,,
Eigentliches Rundkopf-Blaugras,,,,,,,,,,,,,,,,,,,,,,
Setaria faberi,n,,,,,,,,,u,u,u,u,e,e,e,u,u,e,,,H
Faber-Borstenhirse,,,,,,,,,,,,,,,,,,,,,,
Setaria pumila,LC,5,+1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
"Gelbe Borstenhirse, Fuchsrote B.",,,,,,,,,,,,,,,,,,,,,,
Setaria verticillata s.str.,LC,3,+1,0,●,●,●,●,●,u,e,u,u,●,●,e,●,●,●,,Kosm,H
(S. verticillata agg.),Im Alpengebiet abseits des Ostrandes und des Klagenfurter Beckens nur synanthrop.,,,,,,,,,,,,,,,,,,,,,
"Quirl-Borstenhirse, Klett-B.",,,,,,,,,,,,,,,,,,,,,,
Setaria verticilliformis,LC,2,+1,0,n,n,n,n,●*,,u,,,u,●*,u,●*,●*,,,Kosm?,H
Syn. S. decipiens,,,,,,,,,,,,,,,,,,,,,,
(S. verticillata agg.),,,,,,,,,,,,,,,,,,,,,,
Täuschende Borstenhirse,,,,,,,,,,,,,,,,,,,,,,
Setaria viridis,LC,5,+1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Kosm,H
Grüne Borstenhirse,,,,,,,,,,,,,,,,,,,,,,
Sherardia arvensis,NT,4,-2,-1,VU,●,●,●,●,●,●,"†,u",●,●,●,●,●,●,●,,Eur (Kosm),H
Ackerröte,"In Äckern drastischer Rückgang, aber auch (sub)ruderale Vorkommen an Straßenrändern und in lückigen Parkrasen. Im westlichen und nördlichen Alpengebiet stark gefährdet.",,,,,,,,,,,,,,,,,,,,,
Shinnersia rivularis,n,,,,,,,,,,,,,le?,,,,,,,,S
Mexikanisches Eichenblatt,,,,,,,,,,,,,,,,,,,,,,
Sibbaldia procumbens,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Hol,S
Gelbling,,,,,,,,,,,,,,,,,,,,,,
Sicyos angulatus,n,,,,,,,,,u,u,,u,le,u,u,le,u,?,,,H
Haargurke,,,,,,,,,,,,,,,,,,,,,,
Sideritis montana,VU,2,-1,-1,n,EN,RE,n,●,,,,–,,u,†,●,●,●,,Euras,H
Berg-Gliedkraut,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Silaum silaus,VU,3,-2,-2,●,CR,CR,CR,●,●,–,,●,,u,●,●,●,●,,Eur,S
Wiesensilge,Im Alpengebiet rezent nur im Rheingebiet und im Wienerwald.,,,,,,,,,,,,,,,,,,,,,
Silene acaulis subsp. exscapa,LC,4,0,0,●,,,,,●,●,●,●,●,●,,,,,,Hol,S
Kiesel-Polster-Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene acaulis subsp. longiscapa,LC,4,0,0,●,,f,,,●,●,●,●,●,●,●,●,,,,Hol,S
Kalk-Polster-Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene alpestris → Heliosperma,,,,,,,,,,,,,,,,,,,,,,
Silene baccifera,NT,4,-2,-1,VU,CR,CR,●,●,,u,●,,●,●,●,●,●,●,,Euras,S
Syn. Cucubalus baccifer,,,,,,,,,,,,,,,,,,,,,,
Hühnerbiss,,,,,,,,,,,,,,,,,,,,,,
Silene conica,EN,2,-2,-2,,,n,n,●,,,,u,,u,u,●,●,●,,Euras (Kosm),H
Kegelfrüchtiges Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene dichotoma,n,,,,,,,,,u,u,u,u,u,u,u,e,e?,e?,,,H
Gabel-Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene dioica,LC,5,0,0,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
"Rotes Leimkraut, Rote Lichtnelke",,,,,,,,,,,,,,,,,,,,,,
Silene flavescens,n,,,,,,,,,,,,,,,,le,,,,,S
Gelbes Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene gallica,EN,1,-1,-1,●*,n,n,●*,n,u,u,u,u,–,●*,u,●*,●*,●*,,Eur (Kosm),H
Französisches Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene hayekiana → S. saxifraga,,,,,,,,,,,,,,,,,,,,,,
Silene latifolia subsp. alba,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
"Weißes Leimkraut, Weiße Nachtnelke",,,,,,,,,,,,,,,,,,,,,,
Silene linicola,RE,†,†,†,RE,RE,RE,RE,RE,,,,,†,†,u,†,†,,,Eur,H
Flachs-Leimkraut,Ehemals Beikraut in Flachsfeldern. Ende des 19. Jahrhunderts ausgestorben.,,,,,,,,,,,,,,,,,,,,,
Silene multiflora,VU,2,-1,-1,,,,,●,,,,,,,,†,,●,,Euras,S
Vielblütiges Leimkraut,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Silene nemoralis,NT,3,-1,-1,●,n,,VU,EN,,,,u,u,●,,●,u,u,,Eur,H
Hain-Leimkraut,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Silene noctiflora,NT,4,-2,-1,EN,●,VU,EN,●,●,●,u,u,●,●,●,●,●,●,,Euras (Hol),H
"Nacht-Leimkraut, Acker-Nachtnelke",Außerhalb des Pannonikums heute oft nur mehr ruderal und unbeständig.,,,,,,,,,,,,,,,,,,,,,
Silene nutans subsp. insubrica,NT,2,0,-1,●,,,,,,,,,●,●,,,,,,Eur,S
Insubrisches Nickendes Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene nutans subsp. nutans,LC,5,-1,0,●,●,NT,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Gewöhnliches Nickendes Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene otites,VU,3,-2,-1,EN,●,RE,,●,?,†?,,,,●,"†,u",●,●,●,,Euras,S
Inkl. subsp. hungarica,Im Serpentinitgebiet von Kraubath vermutlich das einzige rezente Vorkommen im Alpengebiet.,,,,,,,,,,,,,,,,,,,,,
Ohrlöffel-Leimkraut,,,,,,,,,,,,,,,,,,,,,,
Silene pusilla → Heliosperma,,,,,,,,,,,,,,,,,,,,,,
Silene saxifraga,LC,2,0,0,●,,,,,,,●,,●,,–,,,,,Eur,S
Inkl. S. hayekiana,Inkl. S. hayekiana (Đurović & al. 2017). Vorkommen an talnahen Felsen können gefährdet sein.,,,,,,,,,,,,,,,,,,,,,
Steinbrech-Leimkraut i. w. S.,,,,,,,,,,,,,,,,,,,,,,
Silene viridiflora,EN,1,0,-2,CR*,,,●,,,,,,,●,,,,,,Eur,S
Grünblütiges Leimkraut,"Das Arealrand-Vorkommen in Österreich (Südsteiermark) ist erst seit wenigen Jahrzehnten bekannt (Zimmermann & al. 1989), seither wurden weitere Funde getätigt (Kniely 2015).",,,,,,,,,,,,,,,,,,,,,
Silene viscosa,EN,2,-2,-1,,,,,●,,,,,,,–,●,u,●,,Euras,H
"Klebriges Leimkraut, Klebrige Nachtnelke",Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Silene vulgaris subsp. antelopum,DD,?,?,?,●,●,●,●,●,,●,,●,?,●,●,●,,●,,Eur,S
Gämsen-Klatschnelke,"Unter diesem Namen werden einerseits Pflanzen montaner bis subalpiner Hochstaudenfluren und andererseits solche wärmeliebender Laubmischwälder geführt, letztere könnten gefährdet sein.",,,,,,,,,,,,,,,,,,,,,
Silene vulgaris subsp. glareosa,LC,4,0,0,●,,f,,,●,●,●,●,●,●,●,●,,,,Eur,S
Schutt-Klatschnelke,,,,,,,,,,,,,,,,,,,,,,
Silene vulgaris subsp. vulgaris,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Gewöhnliche Klatschnelke,,,,,,,,,,,,,,,,,,,,,,
Siler montanum,LC,3,0,0,●,,,,●,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. Laserpitium siler,Im Pannonikum nur randlich an der Thermenlinie.,,,,,,,,,,,,,,,,,,,,,
Berg-Laserkraut,,,,,,,,,,,,,,,,,,,,,,
Silphiodaucus prutenicus,EN,3,-3,-2,●,CR,●,●,●,●,●,●,●,●,●,●,●,†,●,,Eur,S
Syn. Laserpitium prutenicum,,,,,,,,,,,,,,,,,,,,,,
Preußisches Laserkraut,,,,,,,,,,,,,,,,,,,,,,
Sinacalia tangutica,n,,,,,,,,,,,,,,u,,le,,,,,S
Syn. Senecio tanguticus,,,,,,,,,,,,,,,,,,,,,,
Tangutienkraut,,,,,,,,,,,,,,,,,,,,,,
Sinapis arvensis,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
Acker-Senf,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium altissimum,NT,3,-1,-1,n,VU,n,n,●,u,u,u,u,u,●,e,●,●,●,,Euras (Kosm),H
"Ungarische Rauke, Hohe R.",Außerhalb des Pannonikums und seiner Randlagen nur synanthrop.,,,,,,,,,,,,,,,,,,,,,
Sisymbrium austriacum s.str.,LC,2,0,0,●,,,,,,,,,●,●,,●,u,u,,Eur,H
(S. austriacum agg.),,,,,,,,,,,,,,,,,,,,,,
Österreichiche Rauke,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium irio,LC,2,+1,0,n,,n,,●,,,,u,,u,–,●,●,,,Euras (Kosm),H
"Glanz-Rauke, Schlaffe R.",Außerhalb des Pannonikums synanthrop.,,,,,,,,,,,,,,,,,,,,,
Sisymbrium loeselii,LC,3,0,0,●,●,n,n,●,u,u,u,u,u,e,e?,●,●,●,,Euras (Hol),H
"Lösel-Rauka, Stadt-R.",Außerhalb des Pannonikums und seiner Randlagen synanthrop.,,,,,,,,,,,,,,,,,,,,,
Sisymbrium officinale,LC,5,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
Weg-Rauke,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium orientale,LC,3,0,0,●,●,n,n,●,u,u,,u,u,u,e,●,●,●,,Euras (Kosm),H
Orientalische Rauke,Außerhalb des Pannonikums und seiner Randlagen synanthrop.,,,,,,,,,,,,,,,,,,,,,
Sisymbrium pallescens,n,,,,,,,,,,e,,,,,,,,,,,H
Syn. S. austriacum subsp. chrysanthum,,,,,,,,,,,,,,,,,,,,,,
(S. austriacum agg.),,,,,,,,,,,,,,,,,,,,,,
Bleiche Rauke,,,,,,,,,,,,,,,,,,,,,,
Sisymbrium strictissimum,LC,3,0,-1,●,EN,CR,VU,NT,?,●,●,●,●,●,●*,●,●,●,,Eur,H
Steife Rauke,,,,,,,,,,,,,,,,,,,,,,
Sisyrinchium montanum,n,,,,,,,,,e,e,u,le,e,le,u,le,,u,,,S
Blauauge,,,,,,,,,,,,,,,,,,,,,,
Sium latifolium,EN,2,-2,-2,RE,,RE,,●,,,,,,,†,●,●,●,,Euras,S
Breitblättriger Merk,,,,,,,,,,,,,,,,,,,,,,
Smyrnium perfoliatum,n,,,,,,,,,,,,u,u,u,u,u,le,le,,,H
Durchwachsene Gelbdolde,,,,,,,,,,,,,,,,,,,,,,
Solanum alatum,VU,2,-1,0,n,n,n,"RE, n",●,,u,,u,u,●,u,●,●,●,,Eur (Kosm),H
Syn. S. villosum subsp. alatum,,,,,,,,,,,,,,,,,,,,,,
(S. villosum agg.),,,,,,,,,,,,,,,,,,,,,,
"Geflügelter Nachtschatten, Mennigroter N.",,,,,,,,,,,,,,,,,,,,,,
Solanum carolinense,n,,,,,,,,,u,,,,e,e,,u,,,,,S
Carolina-Nachtschatten,,,,,,,,,,,,,,,,,,,,,,
Solanum dulcamara,LC,5,-1,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Bittersüßer Nachtschatten,,,,,,,,,,,,,,,,,,,,,,
Solanum nigrum,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Kosm,H
Schwarzer Nachtschatten,Der taxonomische Wert von subsp. schultesii (syn. Solanum decipiens) ist umstritten. Nach manchen Quellen unterscheidet sie sich von subsp. nigrum auch im Standortsspektrum.,,,,,,,,,,,,,,,,,,,,,
Solanum villosum s.str.,G,1,?,?,n,n,n,●*,●,,,,,u,u,e,●,●,u,,Euras (Kosm),H
Syn. S. villosum subsp. villosum,,,,,,,,,,,,,,,,,,,,,,
(S. villosum agg.),,,,,,,,,,,,,,,,,,,,,,
"Zottiger Nachtschatten i. e. S., Gelber N.",,,,,,,,,,,,,,,,,,,,,,
Soldanella alpina,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Alpen-Soldanelle,,,,,,,,,,,,,,,,,,,,,,
Soldanella austriaca,LC,3,0,0,●,,RE?,,,,,,●,,●,●,●,,,S,NE-Alp,S
(S. minima agg.),,,,,,,,,,,,,,,,,,,,,,
Österreichische Soldanelle,,,,,,,,,,,,,,,,,,,,,,
Soldanella major,LC,2,0,0,●,,,,,,,,●,●,●,,●,,,,E-Alp,S
(S. montana agg.),,,,,,,,,,,,,,,,,,,,,,
"Große Soldanelle, Ungarische S.",,,,,,,,,,,,,,,,,,,,,,
Soldanella minima s.str.,LC,2,0,0,●,,,,,,●,●,,●,,,,,,,Alp,S
(S. minima agg.),,,,,,,,,,,,,,,,,,,,,,
Kleinste Soldanelle,,,,,,,,,,,,,,,,,,,,,,
Soldanella montana s.str.,NT,3,-1,-1,●,●,VU,,,,,,●,,●,●,●,,,,Eur,S
(S. montana agg.),,,,,,,,,,,,,,,,,,,,,,
Wald-Soldanelle,,,,,,,,,,,,,,,,,,,,,,
Soldanella pusilla subsp. alpicola,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Alp,S
Zwerg-Soldanelle,,,,,,,,,,,,,,,,,,,,,,
Solidago canadensis,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
Kanadische Goldrute,,,,,,,,,,,,,,,,,,,,,,
Solidago gigantea,n,,,,,,,,,e,e,e,e,e,e,e,e,e,e,,,S
Inkl. subsp. serotina,,,,,,,,,,,,,,,,,,,,,,
Riesen-Goldrute,,,,,,,,,,,,,,,,,,,,,,
Solidago virgaurea,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Inkl. var. alpina (= subsp. minuta),,,,,,,,,,,,,,,,,,,,,,
Echte Goldrute,,,,,,,,,,,,,,,,,,,,,,
Sonchus arvensis subsp. arvensis,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Gewöhnliche Acker-Gänsedistel,,,,,,,,,,,,,,,,,,,,,,
Sonchus arvensis subsp. uliginosus,VU,2,-1,-1,n,n,n,"RE?, n",●,,u,u,e,,●,u,●,●,●,,Euras,S
Drüsenlose Acker-Gänsedistel,Auch (sub)ruderal.,,,,,,,,,,,,,,,,,,,,,
Sonchus asper,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
"Dornige Gänsedistel, Raue G.",,,,,,,,,,,,,,,,,,,,,,
Sonchus oleraceus,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),H
"Kohl-Gänsedistel, Gemüse-G.",,,,,,,,,,,,,,,,,,,,,,
Sonchus palustris,VU,2,-1,0,n,n,n,,●,,u,,,,,e,●,●,●,,Euras,S
Sumpf-Gänsedistel,An Sekundärstandorten teilweise in Ausbreitung.,,,,,,,,,,,,,,,,,,,,,
Sorbus algoviensis,?,,,,?,,,,,?,,,,,,,,,,,E-Alp*,B
Allgäuer Mehlbeere,"Die Angabe für Vorarlberg (Sennikov & Kurtto 2017, Kurtto & al. 2018) hat sich auf das Kleinwalsertal bezogen und ist fraglich (W. Gutermann, pers. Mitt.). Die Typuslokalität der Lokalsippe liegt auf der bayerischen Seite des Grenzkamms zwischen Söllereck und Söllerkopf (Meyer 2000, 2016).",,,,,,,,,,,,,,,,,,,,,
Sorbus aria s.str.,LC,4,0,0,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,●,,Eur,B
(S. aria agg.),,,,,,,,,,,,,,,,,,,,,,
Echte Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus aucuparia subsp. aucuparia,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,B
Gewöhnliche Eberesche,,,,,,,,,,,,,,,,,,,,,,
Sorbus aucuparia subsp. glabrata,LC,?,0,0,●,,,,,●,●,●,●,●,●,–,●,,,,Euras,B
Gebirgs-Eberesche,Taxonomischer Wert fraglich.,,,,,,,,,,,,,,,,,,,,,
Sorbus austriaca,LC,3,0,0,●,,,,,,,●,●,●,●,●,●,,?,,Eur,B
(S. mougeotii agg.),Die Eigenständigkeit der erst kürzlich beschriebenen Sorbus lippertiana (Meyer & Meierott 2021) bleibt zu überprüfen.,,,,,,,,,,,,,,,,,,,,,
Österreichische Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus chamaemespilus,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,B
Zwergmehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus collina,VU,1,0,-1,,●,EN,,●,,,,,,,●,●,●,●,,Eur,B
Syn. S. graeca auct.,,,,,,,,,,,,,,,,,,,,,,
(S. aria agg.),,,,,,,,,,,,,,,,,,,,,,
"Hügel-Mehlbeere, ""Griechische M.""",,,,,,,,,,,,,,,,,,,,,,
Sorbus cucullifera,CR,1,?,-1,,●,,,,,,,,,,,●,,,S,Eur*,B
(S. aria agg.),Im Thayatal bei Hardegg an flachgründigen Standorten auf österreichischer und tschechischer Seite.,,,,,,,,,,,,,,,,,,,,,
Kapuzen-Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus danubialis,VU,1,0,-1,EN,●,,,●,,,,,●,,,●,?,,,Eur,B
(S. aria agg.),"Vor allem im pannonischen Gebiet, in den östlichen Randlagen der Böhmischen Masse und am Alpenostrand, aber auch ein Vorkommen mit zwei Individuen im Mölltal (Kärnten; Gutermann 2000).",,,,,,,,,,,,,,,,,,,,,
Donau-Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus doerriana,CR,1,?,-1,●,,,,,●,,,,,,,,,,,Eur,B
Dörr-Mehlbeere,"Regionalsippe. Bisher für Österreich nur eine Angabe aus dem Kleinwalsertal (Vorarlberg; Meyer & al. 2005), weitere Vorkommen im angrenzenden Bayern; in der Krummholzstufe.",,,,,,,,,,,,,,,,,,,,,
Sorbus domestica,EN,2,-2,-2,●,,,CR*,●,?,,,,,u,–,●,●,●,,Eur,B
Speierling,"Wohl alteingebürgert, auch kultiviert.",,,,,,,,,,,,,,,,,,,,,
Sorbus latifolia agg.,VU,1,0,-1,?,●,,,●,,,,u,,●,●,●,●,†?,,Eur,B
AGr. Breitblättrige Mehlbeere,"Sorbus aria x torminalis und stabilisierte Hybridderivate, von denen bisher in Österreich nur S. slovenica als eigene Art geführt wird und hier separat eingestuft ist. Möglicherweise existieren noch weitere eigenständige, hoch gefährdete Sippen, das sollte bei forstwirtschaftlichen Maßnahmen berücksichtigt werden.",,,,,,,,,,,,,,,,,,,,,
Sorbus slovenica,CR,1,?,-2,,,,,●,,,,,,,,●,,†?,,Eur,B
Slowakische Mehlbeere,Wenige Vorkommen an Xerothermstandorten der pannonischen Hügelstufe südlich der Donau (Jakubowsky & Gutermann 1996).,,,,,,,,,,,,,,,,,,,,,
Sorbus mougeotii s.str.,VU,2,-1,-1,●,,,,,●,●,,,,,,,,,,Eur,B
(S. mougeotii agg.),,,,,,,,,,,,,,,,,,,,,,
Vogesen-Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus slovenica → S. latifolia agg.,,,,,,,,,,,,,,,,,,,,,,
Sorbus thayensis,CR,1,?,-1,,●,,,,,,,,,,,●,,,S,Eur*,B
(S. aria agg.),Im Thayatal bei Hardegg an flachgründigen Standorten auf österreichischer und tschechischer Seite.,,,,,,,,,,,,,,,,,,,,,
Thaya-Mehlbeere,,,,,,,,,,,,,,,,,,,,,,
Sorbus torminalis,LC,4,-1,-1,NT,NT,VU,VU,●,u,†,,–,●,●,●,●,●,●,,Eur,B
Elsbeere,Die Kärntner Vorkommen sind stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Sorghum halepense,n,,,,,,,,,u,u,u,e?,u,e,e,e,e,e,,,S
Aleppohirse,,,,,,,,,,,,,,,,,,,,,,
Sparganium angustifolium,NT,2,0,-1,●,,,,,●,●,●,●,●,●,,,,,,Hol,S
Schmalblättriger Igelkolben,,,,,,,,,,,,,,,,,,,,,,
Sparganium emersum,VU,3,-2,-1,●,EN,●,EN,EN,●,●,†,●,●,●,●,●,●,●,,Hol,S
Astloser Igelkolben,In den Innenalpen stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Sparganium erectum,,,,,,,,,,●,●,●,●,●,●,●,●,●,●,,,S
Ästiger Igelkolben,Die Abgrenzung der Unterarten ist schwierig und erfordert reife Früchte.,,,,,,,,,,,,,,,,,,,,,
Sparganium erectum subsp. erectum,G,?,?,?,●,?,●,●,●,†,●,?,●,●,●,?,●,●,●,,Euras (Kosm),S
Eckigfrüchtiger Astiger Igelkolben,,,,,,,,,,,,,,,,,,,,,,
Sparganium erectum subsp.  microcarpum,G,?,?,?,●,●,●,●,●,●,●,?,●,●,●,●,●,●,●,,Euras,S
Kleinfrüchtiger Astiger Igelkolben,Vermutlich häufiger als bisher angegeben.,,,,,,,,,,,,,,,,,,,,,
Sparganium erectum subsp. neglectum,G,?,?,?,●,●,●,●,●,●,●,?,●,●,●,●,●,●,●,,Eur,S
Kegelfrüchtiger Astiger Igelkolben,"Maurer 2006: ""Bestimmungsversuche mit unreifen Früchten führen meist fälschlicherweise zu Sp. erectum subsp. neglectum.""",,,,,,,,,,,,,,,,,,,,,
Sparganium erectum subsp. oocarpum,G,?,?,?,?,?,●,,●,,,,,,,?,●,,,,Eur,S
Eifrüchtiger Astiger Igelkolben,Hybridogen aus subsp. erectum x subsp. neglectum entstanden.,,,,,,,,,,,,,,,,,,,,,
Sparganium natans,EN,2,-2,-1,●,CR,●,,,●,●,●,●,●,●,●,●,,,,Hol,S
Zwerg-Igelkolben,,,,,,,,,,,,,,,,,,,,,,
Spergula arvensis,VU,3,-3,-1,●,●,●,EN,EN,†,●,●,●,●,●,●,●,●,●,,Eur (Kosm),H
Acker-Spörgel,Weitere zum Teil als Unterarten eingestufte Sippen einst kultiviert bzw. als Leinunkräuter ausgestorben. Im westlichen Alpengebiet vom Aussterben bedroht. Gebietsweise oft nur mehr ruderal.,,,,,,,,,,,,,,,,,,,,,
Spergula morisonii,CR,1,-1,-2,,,,,●,,,,,,,,●,,,,Eur,H
(S. pentandra agg.),"Nur auf offenen, sauren Sanden des Marchtals, kleine Populationen.",,,,,,,,,,,,,,,,,,,,,
Frühlings-Spörgel,,,,,,,,,,,,,,,,,,,,,,
Spergula pentandra s.str.,RE,†,†,†,,,,,RE,,,,,,,–,,,†?,,Eur (Kosm),H
(S. pentandra agg.),"Ehedem im Mittelburgenland (Holzner 1971), zuletzt um 1974 beobachtet (W. Holzner, pers. Mitt.).",,,,,,,,,,,,,,,,,,,,,
Fünfmänniger Spörgel,,,,,,,,,,,,,,,,,,,,,,
Spergularia echinosperma subsp. albensis,RE,†,†,†,,,,,RE,,,,,,,,†,,,,Eur,H
Elbtaler Igelsamen-Spörgel,"Zwei Belege vom Uferschlamm der südlichen March aus der ersten Hälfte des 20. Jahrhunderts (Kúr & al. 2018), rezent nicht wiedergefunden. Die subsp. echinosperma ist bisher aus Österreich nicht nachgewiesen, obwohl die Sippe grenznah zum Waldviertler Teichgebiet im Wittingauer Becken (Třeboňská pánev) aktuell vorkommt.",,,,,,,,,,,,,,,,,,,,,
Spergularia marina,CR,1,-2,-2,n,n,n,n,●,e,e,e,"†,e",e,e,e,"†?,e",e,●,,Kosm,H
Syn. S. salina,"Höchst gefährdet an salzbeeinflussten Primärstandorten des Seewinkels, im Pulkautal (Niederösterreich) möglicherweise ausgestorben. Entlang von streusalzbeeinflussten Straßen in starker Ausbreitung.",,,,,,,,,,,,,,,,,,,,,
(Kleine) Salz-Schuppenmiere,,,,,,,,,,,,,,,,,,,,,,
Spergularia media,EN,2,-2,-2,n,,,,●,,,,,,,,●,u,●,,Euras (Kosm),S
Syn. S. maritima,"Stark gefährdet an salzbeeinflussten Primärstandorten, nur gelegentlich auch an Sekundärstandorten.",,,,,,,,,,,,,,,,,,,,,
Flügel-Schuppenmiere,,,,,,,,,,,,,,,,,,,,,,
Spergularia rubra,LC,4,-1,-1,●,●,●,NT,VU,●,●,●,●,●,●,●,●,"†,u",●,,Kosm,H
Acker-Schuppenmiere,,,,,,,,,,,,,,,,,,,,,,
Spergularia kurkae,EN,1,-1,-1,,●,,,,,,,,,,,●,,,,Eur,H
Syn. S. echinosperma auct.,Angaben von Spergularia echinosperma aus Waldviertler Fischteichen gehören zur artgewordenen Hybride S. kurkae (= S. echinosperma x S. rubra) (Kúr & al. 2018).,,,,,,,,,,,,,,,,,,,,,
Kurka-Schuppenmiere,,,,,,,,,,,,,,,,,,,,,,
Spiraea chamaedryfolia,EN,1,0,-2,●,,n,,n,u,u,,u,●,,u,u,u,,,Euras,B
Ulmen-Spierstrauch,Sicher indigen nur am Nordfuß der Gailtaler Alpen (Kärnten). Auch kultiviert und verwildernd.,,,,,,,,,,,,,,,,,,,,,
Spiraea japonica,n,,,,,,,,,le,le,u,le,u,u,le,u,u,u,,,B
Japanischer Spierstrauch,,,,,,,,,,,,,,,,,,,,,,
Spiraea media,EN,1,-1,-1,●,n,,●,●,,,,,,●,,●,,●,D,Euras,B
Karpaten-Spierstrauch,,,,,,,,,,,,,,,,,,,,,,
Spiraea salicifolia,VU,2,-1,-1,●,●,n,EN*,,u,e,,u,●,●,●,●,u,●*,,Euras,B
Weiden-Spierstrauch,Teilweise Verwechslungen mit ähnlichen kultivierten und verwildernden Sippen.,,,,,,,,,,,,,,,,,,,,,
Spiraea x brachybotrys,n,,,,,,,,,,,,,,le,,,,,,,B
(= S. canescens x S. douglasii),,,,,,,,,,,,,,,,,,,,,,
Lange-Spierstrauch,,,,,,,,,,,,,,,,,,,,,,
Spiranthes aestivalis,EN,2,-2,-2,●,,●,,,●,●,,●,†,,●,–,,,,Eur,S
"Sommer-Wendelähre, -Drehähre","Art der FFH-Richtlinie, Anhang IV. Außerhalb des Rheintales ist die Art von Kalkflachmooren im Alpengebiet vom Aussterben bedroht.",,,,,,,,,,,,,,,,,,,,,
Spiranthes spiralis,VU,3,-2,-2,●,CR,RE,CR,●,●,●,,●,●,●,●,●,●,●,,Eur,S
