Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Syn. Buglossoides purpurocaerulea,Im Alpengebiet abseits des Alpenostrandes gefährdet.,,,,,,,,,,,,,,,,,,,,,
"Purpurblaue Rindszunge, - Geißklaue",,,,,,,,,,,,,,,,,,,,,,
Aegopodium podagraria,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,S
Geißfuß,,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum,n,,,,,,,,,u,u,le?,e,e?,e?,e,e,e?,e?,,,B
Balkan-Rosskastanie,,,,,,,,,,,,,,,,,,,,,,
Aethionema saxatile,LC,2,0,0,●,,,,,†?,●,●,†,●,●,●,●,,,,Eur,S
Felsen-Steintäschel,"Am Ostalpenrand im Rückgang, die Tieflagenvorkommen (z. B. in Kärnten) sind durch Flussverbauten gefährdet.",,,,,,,,,,,,,,,,,,,,,
Aethusa cynapium subsp. cynapium,LC,4,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Hol),H
Acker-Hundspetersilie,,,,,,,,,,,,,,,,,,,,,,
Aethusa cynapium subsp. elata,LC,2,0,0,●,●,●,DD,●,,●,●,●,●,●,●,●,?,●,,Eur,H
Wald-Hundspetersilie,Der taxonomische Wert dieser Sippe ist umstritten.,,,,,,,,,,,,,,,,,,,,,
Ageratina altissima,n,,,,,,,,,,,,,u,u,,le,,,,,S
Hohe Ageratine,,,,,,,,,,,,,,,,,,,,,,
Agrimonia eupatoria,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Echter Odermennig,,,,,,,,,,,,,,,,,,,,,,
Agrimonia procera,LC,3,+1,0,●,CR,●,●,VU,●,●,●,●,●,●,●,●,u,●,,Eur (Kosm),S
Duft-Odermennig,Nicht alle Vorkommen werden für indigen gehalten.,,,,,,,,,,,,,,,,,,,,,
Agropyron pectiniforme,EN,1,0,-2,,,,,●,,,,,,u,,●,u,●,,Hol,S
Steppen-Kammquecke,Einstufung nach dem vermutlich indigenen Marchtal-Vorkommen. Außerdem Ruderalvorkommen.,,,,,,,,,,,,,,,,,,,,,
Agrostemma githago,CR,1,-3,-3,●,●,RE?,RE,●,†,"†,u",●,"†,u",●,●,●,●,●,●,,Euras (Kosm),H
Kornrade,"Dieser Archäophyt ist als Folge effizienter Saatgutreinigung fast überall verschwunden. Nicht autochthones Samenmaterial wird häufig ausgebracht, diese Ansaaten verschwinden aber meist innerhalb weniger Jahre wieder.",,,,,,,,,,,,,,,,,,,,,
Agrostis agrostiflora → A. schraderiana,,,,,,,,,,,,,,,,,,,,,,
Agrostis alpina s.str.,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
(A. alpina agg.),,,,,,,,,,,,,,,,,,,,,,
Alpen-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis canina s.str.,NT,4,-2,-1,●,●,●,VU,CR,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
(A. canina agg.),,,,,,,,,,,,,,,,,,,,,,
Sumpf-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis capillaris,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
Rotes Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis gigantea,LC,4,-1,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
(A. stolonifera agg.),,,,,,,,,,,,,,,,,,,,,,
Riesen-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis rupestris,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Felsen-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis scabra s.orig.,n,,,,,,,,,,,,,,,u,e,,,,,S
Amerikanisches Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis schleicheri,LC,2,0,0,●,,,,,●,●,–,●,,,,,,,,Eur,S
(A. alpina agg.),,,,,,,,,,,,,,,,,,,,,,
Schleicher-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis schraderiana,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. A. agrostiflora,,,,,,,,,,,,,,,,,,,,,,
"Schilf-Straußgras, Schrader-St.",,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera s.str.,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
(A. stolonifera agg.),,,,,,,,,,,,,,,,,,,,,,
Kriech-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Agrostis vinealis,VU,2,-1,-1,●,●,,EN,●,,,,,●,●,u,●,●,●,,Hol,S
(A. canina agg.),,,,,,,,,,,,,,,,,,,,,,
Heide-Straußgras,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima,n,,,,,,,,,u,e,u,le,e,e,e,e,e,e,,,B
Götterbaum,,,,,,,,,,,,,,,,,,,,,,
Aira caryophyllea,EN,2,-2,-1,RE,RE?,"RE, n",CR,●,†,u,†,u,,†,?,●,†,●,,Eur (Kosm),H
Gewöhnlicher Nelkenhafer,,,,,,,,,,,,,,,,,,,,,,
Aira elegantissima,EN,1,-1,-1,CR,n,,CR,●,,,,,,,u,●,u,●,,Euras (Kosm),H
Zierlicher Nelkenhafer,Seltene Art lückiger Trockenrasen über saurem Substrat. Im Alpengebiet nur am Rand des Günser Gebirges (Burgenland).,,,,,,,,,,,,,,,,,,,,,
Ajuga chamaepitys,VU,3,-2,-1,RE?,EN,EN,RE?,●,,,,,,†?,●,●,●,●,,Euras,H
"Gelber Günsel, Acker-G.",,,,,,,,,,,,,,,,,,,,,,
Ajuga genevensis,NT,4,-2,-2,●,●,VU,VU,●,●,●,●,●,●,●,●,●,●,●,,Eur (Hol),S
Zottiger Günsel,Im Alpengebiet im Einzugsgebiet des Rheins vom Aussterben bedroht (Amann 2016). Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Ajuga pyramidalis,LC,4,-1,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Pyramiden-Günsel,,,,,,,,,,,,,,,,,,,,,,
Ajuga reptans,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
Kriech-Günsel,,,,,,,,,,,,,,,,,,,,,,
Akebia quinata,n,,,,,,,,,,,,,le,u,,,,,,,B
Fingerblättrige Akebie,,,,,,,,,,,,,,,,,,,,,,
Alcea biennis,EN,2,-2,-1,,,,,●,,,,u,,,,●,†,,,Eur,H
Blasse Pappelrose,,,,,,,,,,,,,,,,,,,,,,
Alchemilla acrodon,LC,1,0,0,●,,,,,,,,,–,–,,●,,,E,NE-Alp*!,S
(A. vulgaris agg. s.lat.),Lokalendemit der Rax (vgl. Staudinger & al. 2009).,,,,,,,,,,,,,,,,,,,,,
Scharfzähniger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla acutata,LC,2,0,0,●,,,,,,●,●,●,●,,,,,,,E-Alp,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
Spitzblütiger Frauenmantel,,,,,,,,,,,,,,,,,,,,,,
Alchemilla acutiloba,NT,3,-1,-1,●,VU,VU,G,,●,●,●,●,●,●,●,●,,●,,Euras,S
(A. vulgaris agg. s.lat.),,,,,,,,,,,,,,,,,,,,,,
