GUID,Taxon,Synonymie,Aggregatzugehörigkeit,Taxonname deutsch,Nordtirol,Nordtirol,Nordtirol,Nordtirol,Osttirol,Osttirol,Osttirol,Osttirol,Kommentar
,,,,,RL,A,B,R,RL,A,B,R,
0149A805-845F-41FF-9592-32619F8C47C6,Aira elegantissima,,,Zierlicher Nelkenhafer,-,,,,u,,,,
C1E18939-1BD6-487E-8A25-EE538B7DE89A,Ajuga genevensis,,,Zottiger Günsel,NT,4,-2,-1,LC,5,-2,-1,
7BA03572-0362-4CB1-8BBB-803EBBA376FE,Ajuga pyramidalis,,,Pyramiden-Günsel,LC,5,0,0,LC,5,0,0,In Tieflagen gefährdet (VU).
3923C19B-B55A-49BB-9E43-504AEA60B426,Ajuga reptans,,,Kriech-Günsel,LC,5,0,0,LC,4,0,0,
081473B3-EF75-42F3-B4D8-1D4DF1D6B107,Alcea rosea,,,Garten-Pappelrose,u,,,,u,,,,
AF17FE4C-498E-482C-9910-3797094D865C,Alcea rugosa,,,Gelbe Stockrose,-,,,,u,,,,
FE460310-18F3-4F04-AC87-693C01D9DB0C,Alchemilla acutata,,A. vulgaris agg. s.lat.,Spitzblütiger Frauenmantel,LC,2,0,0,LC,dd,0,0,
FADBCEFC-6437-4826-9BB9-7E4F2AAD09A6,Alchemilla acutiloba,,A. vulgaris agg. s.lat.,Spitzlappiger Frauenmantel,VU,2,-1,-1,VU,2,-1,-1,
89ACC971-5F6B-4D5F-B10A-0F94C6931271,Alchemilla alneti,,A. vulgaris agg. s.lat.,Osttiroler Frauenmantel,-,,,,LC,1,0,0,
F62F83D2-CF46-4C5B-8BE4-6A9E6EFABA7C,Alchemilla alpigena,,A. conjuncta agg.,Kalkalpen-Silbermantel,LC,2,0,0,-,,,,
1A6E94D4-AB45-41EF-8C24-2FB9833A96BC,Alchemilla alpina s. str.,,A. alpina agg.,Alpen-Silbermantel,LC,5,0,0,LC,4,0,0,
B5235557-13B6-4BAD-8D98-8F3D2C11437A,Alchemilla arvensis,syn. Aphanes arvensis,,Gewöhnliches Ohmkraut,CR,1,-3,-3,RE,0,-3,,"NT: Die ehemaligen Vorkommen der Art lagen vorwiegend im Raum Innsbruck und den südlichen Mittelgebirgen, dazu kommen einzelne Angaben aus dem Oberland und dem Zillertal. Die einzige aktuelle Fundmeldung stammt aus Igls (Thalinger ined.). – OT: Gezielte Nachsuche in Getreidefeldern erbrachte keine Nachweise."
27A52A0F-D766-44AB-B6F5-BA142EA25BAE,Alchemilla bonae,,A. vulgaris agg. s.lat.,Bona-Frauenmantel,(DD),dd,dd,dd,-,,,,NT: Es gibt eine fragliche historische Angabe aus dem Karwendel.
E4A211B3-D6B4-44EB-8F8D-685CB0EA55BE,Alchemilla colorata,,A. vulgaris agg. s.lat.,Geröteter Frauenmantel,DD,dd,dd,dd,LC,dd,0,0,
C2C95150-E24B-47D1-ACF5-052D1F89E524,Alchemilla compta,,A. vulgaris agg. s.lat.,Schmuck-Frauenmantel,DD,dd,dd,dd,LC,3,0,0,
BC8C1CBC-A970-4410-9646-4A190DE202DB,Alchemilla connivens,,A. vulgaris agg. s.lat.,Zusammenneigender Frauenmantel,LC,3,0,0,LC,3,0,0,
491C9104-91A6-4B05-A1B0-1AE223886516,Alchemilla coriacea,,A. vulgaris agg. s.lat.,Lederblättriger Frauenmantel,VU,2,-1,0,LC,3,0,0,
130661F8-31C2-4668-9681-0F5D45365C29,Alchemilla crinita,,A. vulgaris agg. s.lat.,Langhaariger Frauenmantel,LC,4,0,0,LC,4,0,0,
43C70CFF-B480-4627-A276-543F04D40146,Alchemilla curtiloba,,A. vulgaris agg. s.lat.,Kurzlappiger Frauenmantel,CR,1,dd,-2,DD,dd,dd,dd,"NT: Für die Art gibt es ältere, lokale Angaben aus Lebernberg bei Kitzbühel."
